,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
191,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
192,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
193,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
194,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
195,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
196,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
197,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
198,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
199,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
200,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
201,-1.3101381,-0.62153196,-0.3920177,-0.03321371,0.08938211,-0.07032154,-0.0094227055
202,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
203,-0.7919677,-0.72988564,-0.20134807,-0.033900503,-0.052008703,-0.06824107,-0.005890425
204,-0.5261297,-0.60650724,-0.3556699,-0.09594998,0.11597476,-0.0405974,-0.011465115
205,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
206,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
207,1.5825669,-0.09296025,-0.92449313,-0.42779619,0.8233656,0.10960944,-0.03648712
208,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
209,1.5465523,-1.0399222,0.4070089,-0.09869714,-0.44958857,-0.03227553,0.0026639896
210,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
211,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
212,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
213,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
214,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
215,-0.0034573511,-0.5964906,-0.33143792,-0.13777414,0.13370319,-0.020781307,-0.012826726
216,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
217,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
218,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
219,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
220,-0.012460926,-0.8332312,0.0014375701,-0.05549939,-0.18453535,-0.056252535,-0.0030389454
221,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
222,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
223,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
224,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
225,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
226,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
227,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
228,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
229,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
230,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
231,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
232,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
233,2.6099043,-0.5464082,-0.21027826,-0.34689498,0.22234538,0.07829909,-0.019634798
234,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
235,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
236,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
237,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
238,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
239,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
240,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
241,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
242,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
243,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
244,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
245,-1.0488019,-0.61652386,-0.37990177,-0.054125793,0.09824633,-0.060413502,-0.010103511
246,-1.2012103,0.085527636,0.07146546,0.24084674,-0.107818276,0.33209547,1.005904
247,-1.2012103,0.085527636,0.07146546,0.24084674,-0.107818276,0.33209547,1.005904
248,-0.8114569,0.033854924,0.17285827,0.23004733,-0.17408155,0.33808976,1.0073298
249,-0.8114569,0.033854924,0.17285827,0.23004733,-0.17408155,0.33808976,1.0073298
250,-0.8114569,0.033854924,0.17285827,0.23004733,-0.17408155,0.33808976,1.0073298
251,-0.8114569,0.033854924,0.17285827,0.23004733,-0.17408155,0.33808976,1.0073298
252,-0.031950187,-0.06949057,0.3756439,0.20844842,-0.30660817,0.3500783,1.0101813
